Age	Male	Female
0	266820	250481
1	256967	241404
2	254237	239007
3	262034	245566
4	260473	244798
5	239901	227055
6	233152	221913
7	216603	204225
8	216915	205192
9	206934	196268
10	198396	186444
11	190341	179524
12	195851	185083
13	197747	187721
14	209108	200438
15	218770	208355
16	236427	225219
17	246690	234332
18	258319	244076
19	273728	259220
20	294729	279194
21	315818	299083
22	331707	314764
23	346660	330232
24	368187	351783
25	379888	363524
26	401430	386262
27	388434	375765
28	396799	383941
29	403121	389828
30	368335	354370
31	352408	346882
32	358804	354497
33	337551	335543
34	332918	335290
35	320239	326133
36	336490	343172
37	326979	338471
38	317427	330461
39	308373	322356
40	316163	334019
41	313265	330200
42	309358	327734
43	282691	304269
44	286112	309733
45	279935	307459
46	286933	318761
47	282031	317800
48	292455	333441
49	309205	357747
50	314830	368347
51	324488	381487
52	333299	396061
53	313693	381217
54	308008	378939
55	291432	365271
56	286074	365189
57	263232	342681
58	266584	353371
59	239708	323827
60	246942	338670
61	242998	335628
62	235748	332377
63	237454	345616
64	194243	287067
65	167930	256176
66	156344	248269
67	98619	164270
68	110139	189500
69	96350	169271
70	120662	217977
71	155644	283565
72	154157	287070
73	156121	307428
74	156133	314494
75	155497	312567
76	120691	243573
77	94595	193575
78	66382	139130
79	52039	114835
80	59923	142877
81	58595	138225
82	64414	160763
83	47491	130443
84	44319	127724
85	37206	106616
86	28618	92101
87	21894	75595
88	16108	60942
89	11056	42514
90	7849	31628
91	6621	23821
92	5517	17507
93	2476	9011
94	2103	8050
95	1319	4165
96	675	2478
97	486	1650
98	519	2381
99	308	562
100 and more	1353	4412
